What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Sacramento,California,United States,16,4,3,4,5,4,4-6 hours,3,4,Less than 30 minutes a week,4,5,4,3
Davis,California,United States,13,4,3,5,5,4,4-6 hours,4,4,30- 60 minutes a week,3,5,3,2
Napa,California,United States,16,4,4,4,5,5,7-9 hours,3,3,More than 90 minutes a week,4,3,2,4
Davis,California,United States,13,4,5,4,4,3,4-6 hours,4,4,30- 60 minutes a week,4,2,3,4
Stinson Beach,California,United States,18,5,5,4,3,4,7-9 hours,3,5,More than 90 minutes a week,3,4,3,2
Columbus,Indiana,United States,17,4,5,5,5,5,7-9 hours,2,4,More than 90 minutes a week,4,4,5,4
Rogers,Arkansas,United States,14,4,5,3,5,5,7-9 hours,2,4,More than 90 minutes a week,5,3,3,3
Kokomo,Indiana,United States,17,4,5,5,5,3,4-6 hours,3,4,30- 60 minutes a week,5,5,4,4
American Canyon,California,United States,13,5,5,4,4,4,7-9 hours,2,4,Less than 30 minutes a week,3,4,5,2
Republic,Missouri,United States,13,5,5,5,5,4,7-9 hours,5,5,60-90 minutes a week,4,5,5,3
Dallas,Texas,United States,14,5,5,5,5,5,More than 9 hours,3,4,60-90 minutes a week,1,1,1,5
Atlanta,Georgia,United States,11,1,1,1,4,5,Less than an hour,1,1,Less than 30 minutes a week,2,1,1,5
Napa,California,United States,11,4,3,4,3,5,4-6 hours,3,2,Less than 30 minutes a week,5,2,1,3
Ibiza,Islas Baleares,Spain,24,4,5,5,5,2,4-6 hours,3,4,More than 90 minutes a week,4,4,4,2
American Canyon,California,United States,16,4,4,5,4,5,4-6 hours,2,3,30- 60 minutes a week,5,3,4,2
Cincinnati,Ohio,United States,15,4,4,2,2,3,4-6 hours,2,3,Less than 30 minutes a week,4,2,3,3
Gary,Indiana,United States,11,4,4,5,4,4,7-9 hours,3,4,60-90 minutes a week,4,4,4,2
Napa,California,United States,12,4,4,5,3,2,7-9 hours,4,2,60-90 minutes a week,3,4,5,4
Napa,California,United States,50,5,5,3,4,3,7-9 hours,5,4,More than 90 minutes a week,5,4,4,3
Orcutt,California,United States,14,5,4,3,5,5,4-6 hours,2,4,More than 90 minutes a week,1,3,3,5
Santa Ana,California,United States,15,4,4,5,4,4,4-6 hours,4,4,More than 90 minutes a week,4,4,3,2
Auburn,Indiana,United States,16,5,4,5,5,5,7-9 hours,3,3,30- 60 minutes a week,5,4,4,2
Niles,Michigan,United States,14,3,4,4,4,4,7-9 hours,4,4,30- 60 minutes a week,3,2,3,4
Republic,Missouri,United States,12,3,5,5,5,3,4-6 hours,4,4,More than 90 minutes a week,3,5,3,2
Anderson,California,United States,16,4,5,5,5,4,More than 9 hours,2,3,30- 60 minutes a week,5,4,2,4
American Canyon,California,United States,15,4,4,3,5,5,4-6 hours,4,2,More than 90 minutes a week,5,3,3,5
Woodland,California,United States,13,5,4,3,4,4,1-3 hours,4,3,60-90 minutes a week,5,5,3,4
Seattle,Washington,United States,15,5,5,5,5,5,7-9 hours,3,5,More than 90 minutes a week,5,5,5,2
Idaho Falls,Idaho,United States,16,4,4,5,4,5,7-9 hours,4,4,More than 90 minutes a week,4,4,3,2
Albuquerque,New Mexico,United States,15,4,5,5,5,5,7-9 hours,5,4,More than 90 minutes a week,4,4,4,4
Napa,California,United States,16,4,4,4,3,4,7-9 hours,3,5,60-90 minutes a week,4,5,4,4
Sioux Falls,South Dakota,United States,17,5,5,5,5,5,7-9 hours,5,5,30- 60 minutes a week,5,5,5,5
American Canyon,California,United States,15,4,5,4,4,5,7-9 hours,3,3,60-90 minutes a week,4,3,3,2
Fort Wayne,Indiana,United States,15,4,5,5,5,4,Less than an hour,4,4,30- 60 minutes a week,3,4,3,2
Seaford,Delaware,United States,14,5,5,5,5,5,7-9 hours,3,3,60-90 minutes a week,1,4,1,1
Rochester,Indiana,United States,16,3,3,2,4,3,1-3 hours,5,3,More than 90 minutes a week,5,4,4,5
Zanesville,Ohio,United States,13,3,5,4,5,5,4-6 hours,2,3,Less than 30 minutes a week,4,4,3,4
Seaford,Delaware,United States,17,4,2,4,4,4,1-3 hours,4,3,More than 90 minutes a week,2,4,4,2
Camby,Indiana,United States,16,4,4,5,5,5,7-9 hours,2,2,30- 60 minutes a week,4,1,1,5
Kokomo,Indiana,United States,28,5,4,4,5,3,4-6 hours,3,4,60-90 minutes a week,5,5,4,3
Evansville,Indiana,United States,18,5,3,4,2,4,1-3 hours,1,5,30- 60 minutes a week,4,3,4,1
Evansville,Indiana,United States,15,5,2,4,5,4,1-3 hours,2,2,30- 60 minutes a week,3,2,2,3
Evansville,Indiana,United States,16,4,5,5,3,4,7-9 hours,3,4,More than 90 minutes a week,3,2,4,2
Evansville,Indiana,United States,18,4,4,5,4,5,4-6 hours,4,3,More than 90 minutes a week,4,5,5,4
Evansville,Indiana,United States,18,5,5,5,5,5,4-6 hours,3,4,More than 90 minutes a week,5,4,4,2
Kensett,Arkansas,United States,16,4,2,4,5,5,4-6 hours,3,3,Less than 30 minutes a week,3,3,3,4
Gary,Indiana,United States,17,3,2,5,5,5,1-3 hours,4,1,30- 60 minutes a week,5,3,2,3
Blytheville,Arkansas,United States,15,5,4,5,3,4,4-6 hours,4,3,30- 60 minutes a week,5,5,4,4
Blytheville,Arkansas,United States,15,5,4,5,3,4,4-6 hours,4,3,30- 60 minutes a week,5,5,4,4
El Dorado,Arkansas,United States,15,4,4,5,3,4,4-6 hours,4,4,More than 90 minutes a week,3,4,3,3
Trumann,Arkansas,United States,14,4,2,5,5,5,4-6 hours,3,1,30- 60 minutes a week,2,5,1,1
Zanesville,Ohio,United States,14,4,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,4,5,2
Monroe,Indiana,United States,18,4,4,2,4,5,1-3 hours,4,1,30- 60 minutes a week,3,2,2,4
Bridgeville,Delaware,United States,16,5,5,5,5,5,7-9 hours,4,5,More than 90 minutes a week,5,5,5,5
Cincinnati,Ohio,United States,15,4,3,5,4,4,1-3 hours,4,4,30- 60 minutes a week,3,5,5,3
Marked Tree,Arkansas,United States,13,3,3,5,5,5,4-6 hours,4,4,30- 60 minutes a week,3,4,3,4
Marked Tree,Arkansas,United States,13,5,2,5,5,5,7-9 hours,4,4,Less than 30 minutes a week,5,5,3,5
Durham,North Carolina,United States,15,3,3,4,5,5,4-6 hours,5,5,30- 60 minutes a week,3,4,4,3
Republic,Missouri,United States,40,4,5,5,4,4,7-9 hours,5,4,60-90 minutes a week,5,4,4,2
Ozark,Missouri,United States,45,3,5,5,4,4,7-9 hours,3,4,30- 60 minutes a week,4,4,3,2
Nixa,Missouri,United States,35,4,5,5,5,4,4-6 hours,4,4,More than 90 minutes a week,5,5,4,2
Marionville,Missouri,United States,45,5,4,5,4,4,7-9 hours,3,4,Less than 30 minutes a week,3,3,3,2
Springfield,Missouri,United States,25,4,5,5,5,3,4-6 hours,2,3,More than 90 minutes a week,4,4,4,2
Macon,North Carolina,United States,15,5,5,4,5,3,7-9 hours,2,3,More than 90 minutes a week,5,5,3,4
Marionville,Missouri,United States,48,5,5,4,4,4,4-6 hours,2,3,Less than 30 minutes a week,4,4,4,2
Republic,Missouri,United States,36,5,5,5,5,5,4-6 hours,3,2,30- 60 minutes a week,4,2,3,4
Gary,Indiana,United States,14,5,4,5,4,5,7-9 hours,4,3,30- 60 minutes a week,4,4,3,2
Republic,Missouri,United States,47,4,4,5,2,5,4-6 hours,3,4,Less than 30 minutes a week,5,5,4,2
Ozark,Missouri,United States,31,5,4,5,5,5,1-3 hours,3,4,Less than 30 minutes a week,4,5,2,2
Republic,Missouri,United States,26,5,5,5,5,5,7-9 hours,4,4,30- 60 minutes a week,5,5,5,3
Dell,Arkansas,United States,14,4,5,5,4,4,7-9 hours,4,4,More than 90 minutes a week,4,5,4,2
Republic,Missouri,United States,35,4,4,4,5,3,4-6 hours,4,3,30- 60 minutes a week,4,3,5,3
Republic,Missouri,United States,49,3,5,5,3,1,7-9 hours,4,4,Less than 30 minutes a week,3,3,3,1
Anderson,California,United States,14,5,5,4,5,4,4-6 hours,3,5,More than 90 minutes a week,4,4,3,2
Sioux Falls,South Dakota,United States,18,3,4,5,3,5,7-9 hours,3,3,Less than 30 minutes a week,4,5,2,2
Springfield,Missouri,United States,40,5,4,5,5,2,4-6 hours,5,3,More than 90 minutes a week,3,3,2,4
Springfield,Missouri,United States,51,4,4,4,4,3,7-9 hours,3,3,More than 90 minutes a week,3,3,3,2
Seaford,Delaware,United States,15,1,5,5,5,5,7-9 hours,5,5,More than 90 minutes a week,5,5,5,5
Billings,Montana,United States,57,5,5,5,5,5,7-9 hours,3,4,60-90 minutes a week,4,4,5,2
Springfield,Missouri,United States,30,4,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,4,5,4,2
Republic,Missouri,United States,38,5,5,5,4,3,4-6 hours,3,4,60-90 minutes a week,3,4,5,2
Kokomo,Indiana,United States,25,4,5,5,3,5,4-6 hours,4,4,30- 60 minutes a week,5,4,5,1
Republic,Missouri,United States,36,4,5,5,5,4,7-9 hours,3,4,More than 90 minutes a week,5,5,4,2
Republic,Missouri,United States,30,4,5,5,4,4,4-6 hours,3,4,Less than 30 minutes a week,3,3,4,1
Lincoln,Arkansas,United States,15,4,3,3,2,5,1-3 hours,5,2,30- 60 minutes a week,1,1,5,5
Zanesville,Ohio,United States,13,4,1,2,5,5,7-9 hours,3,1,Less than 30 minutes a week,4,1,5,3
Gary,Indiana,United States,11,2,4,3,5,5,4-6 hours,3,2,30- 60 minutes a week,3,5,3,3
Judsonia,Arkansas,United States,18,4,3,5,5,5,7-9 hours,3,2,30- 60 minutes a week,3,2,3,4
Kokomo,Indiana,United States,18,5,5,5,5,3,More than 9 hours,3,3,Less than 30 minutes a week,3,4,3,3
Republic,Missouri,United States,39,5,5,5,5,4,7-9 hours,4,4,More than 90 minutes a week,3,3,3,3
Dumas,Arkansas,United States,16,4,4,4,5,5,7-9 hours,3,3,More than 90 minutes a week,5,2,3,3
Napa,California,United States,15,5,4,3,5,4,7-9 hours,3,3,30- 60 minutes a week,4,2,2,2
Billings,Missouri,United States,50,3,5,5,5,5,4-6 hours,5,4,30- 60 minutes a week,4,4,4,3
Idaho Falls,Idaho,United States,16,4,5,1,5,5,7-9 hours,4,1,30- 60 minutes a week,3,2,2,3
Seattle,Washington,United States,18,5,3,5,5,3,7-9 hours,5,4,More than 90 minutes a week,4,4,4,2
Carrollton,Texas,United States,16,4,5,5,5,3,7-9 hours,3,4,More than 90 minutes a week,4,5,4,1
Fort Wayne,Indiana,United States,15,3,4,3,4,5,4-6 hours,3,2,30- 60 minutes a week,4,2,2,3
Battlefield,Missouri,United States,37,4,5,5,5,3,7-9 hours,4,3,Less than 30 minutes a week,5,3,4,2
Republic,Missouri,United States,53,5,4,5,5,4,4-6 hours,4,4,60-90 minutes a week,5,3,4,1
American Canyon,California,United States,17,3,5,5,5,5,4-6 hours,2,2,30- 60 minutes a week,2,4,2,4
Blytheville,Arkansas,United States,15,5,5,5,5,4,Less than an hour,5,2,Less than 30 minutes a week,5,5,5,4
Plymouth,Indiana,United States,11,5,2,5,3,4,7-9 hours,4,4,30- 60 minutes a week,4,4,4,3
Davis,California,United States,16,5,3,1,3,5,7-9 hours,3,2,More than 90 minutes a week,3,1,1,5
Shelby,Ohio,United States,16,5,1,3,5,5,1-3 hours,2,1,30- 60 minutes a week,1,1,1,2
American Canyon,California,United States,16,5,4,5,5,5,7-9 hours,4,5,More than 90 minutes a week,5,5,5,2
Napa,California,United States,15,4,4,5,3,5,7-9 hours,3,4,More than 90 minutes a week,3,4,4,4
Republic,Missouri,United States,48,5,5,5,5,5,4-6 hours,4,5,More than 90 minutes a week,5,5,5,3
Waterloo,Indiana,United States,16,5,3,4,5,4,1-3 hours,2,1,60-90 minutes a week,2,1,1,4
Kokomo,Indiana,United States,16,5,4,3,5,5,7-9 hours,2,1,More than 90 minutes a week,4,1,2,3
Eleanor,West Virginia,United States,16,3,3,2,5,4,4-6 hours,4,1,30- 60 minutes a week,2,1,3,5
Eleanor,West Virginia,United States,17,4,4,5,5,4,7-9 hours,2,4,30- 60 minutes a week,4,3,3,2
Idaho Falls,Idaho,United States,16,4,3,5,5,5,7-9 hours,3,5,Less than 30 minutes a week,4,5,4,2
Republic,Missouri,United States,34,5,5,5,3,3,1-3 hours,4,2,More than 90 minutes a week,4,4,2,1
Cherry Valley,Arkansas,United States,14,1,1,5,5,3,More than 9 hours,2,1,More than 90 minutes a week,1,3,1,5
Harvey,Louisiana,United States,13,5,3,5,5,5,4-6 hours,2,5,60-90 minutes a week,5,5,4,3
Republic,Missouri,United States,38,4,5,5,3,4,7-9 hours,3,4,Less than 30 minutes a week,5,5,4,2
Los Gatos,California,United States,15,3,5,4,4,4,4-6 hours,3,3,More than 90 minutes a week,3,3,3,2
Richmond,Illinois,United States,26,5,4,5,4,4,7-9 hours,4,3,More than 90 minutes a week,5,4,4,2
Republic,Missouri,United States,47,5,5,4,4,5,4-6 hours,1,3,Less than 30 minutes a week,3,3,3,5
Los Gatos,California,United States,14,4,4,5,2,4,7-9 hours,2,4,More than 90 minutes a week,4,4,4,2
Billings,Missouri,United States,59,3,4,5,4,5,4-6 hours,3,3,30- 60 minutes a week,3,5,4,2
Cherokee Village,Arkansas,United States,14,5,3,5,5,5,More than 9 hours,3,3,Less than 30 minutes a week,4,3,5,5
Cleveland,Ohio,United States,17,5,5,5,5,5,4-6 hours,5,5,More than 90 minutes a week,5,5,5,1
Gary,Indiana,United States,16,4,5,4,5,4,4-6 hours,3,3,Less than 30 minutes a week,5,1,4,3
Redding,California,United States,15,5,1,3,4,3,7-9 hours,2,2,Less than 30 minutes a week,3,2,3,5
Evansville,Indiana,United States,14,5,3,4,5,5,7-9 hours,5,3,Less than 30 minutes a week,5,1,4,5
Junior,West Virginia,United States,16,4,5,4,4,5,7-9 hours,2,3,60-90 minutes a week,4,3,2,2
Republic,Missouri,United States,12,5,5,5,5,3,7-9 hours,5,5,More than 90 minutes a week,5,5,3,3
Republic,Missouri,United States,46,5,4,4,4,4,4-6 hours,3,4,More than 90 minutes a week,4,5,4,2
Davis,California,United States,14,5,4,5,5,5,1-3 hours,4,4,30- 60 minutes a week,5,4,3,3
Evansville,Indiana,United States,17,5,4,4,5,5,7-9 hours,4,5,More than 90 minutes a week,3,5,4,3
Midland,Michigan,United States,15,5,4,4,4,5,7-9 hours,3,3,More than 90 minutes a week,5,4,4,2
Detroit,Michigan,United States,15,5,3,4,5,5,1-3 hours,4,3,30- 60 minutes a week,5,4,3,3
Republic,Missouri,United States,53,4,4,4,5,5,4-6 hours,4,4,30- 60 minutes a week,3,4,4,4
Albany,New York,United States,16,3,4,5,4,5,7-9 hours,4,3,More than 90 minutes a week,4,3,3,3
Seattle,Washington,United States,16,5,5,4,5,5,4-6 hours,1,5,30- 60 minutes a week,5,5,5,4
Kokomo,Indiana,United States,15,5,5,5,4,5,1-3 hours,3,3,60-90 minutes a week,4,3,3,4
Lowell,Indiana,United States,12,5,3,5,5,5,7-9 hours,5,3,More than 90 minutes a week,5,5,3,5
Lowell,Indiana,United States,13,4,5,5,3,4,7-9 hours,4,5,More than 90 minutes a week,4,5,4,2
Republic,Missouri,United States,38,4,5,5,4,2,4-6 hours,3,3,60-90 minutes a week,4,3,4,1
Napa,California,United States,12,3,4,5,5,4,7-9 hours,3,4,60-90 minutes a week,3,3,4,3
Republic,Missouri,United States,32,5,5,5,5,5,4-6 hours,3,4,60-90 minutes a week,4,4,4,4
Rogers,Arkansas,United States,15,4,4,4,5,5,7-9 hours,3,3,30- 60 minutes a week,2,2,3,3
Buffalo,New York,United States,16,5,4,3,5,5,4-6 hours,4,2,More than 90 minutes a week,4,4,4,3
Republic,Missouri,United States,47,5,4,4,4,5,4-6 hours,3,5,30- 60 minutes a week,5,4,5,3
Springfield,Missouri,United States,67,5,5,5,2,2,7-9 hours,5,5,More than 90 minutes a week,4,4,4,1
Republic,Missouri,United States,36,5,5,4,5,5,7-9 hours,5,3,30- 60 minutes a week,4,4,3,2
Seattle,Washington,United States,16,5,5,3,5,5,4-6 hours,5,3,60-90 minutes a week,3,3,3,5
Memphis,Tennessee,United States,15,3,3,5,5,4,7-9 hours,2,4,30- 60 minutes a week,4,5,4,1
Sacramento,California,United States,17,4,3,3,4,4,4-6 hours,4,2,Less than 30 minutes a week,2,1,2,4
Sacramento,California,United States,16,4,4,5,5,3,4-6 hours,3,3,Less than 30 minutes a week,5,4,4,2
Republic,Missouri,United States,49,5,5,5,3,4,7-9 hours,2,4,30- 60 minutes a week,4,3,4,2
Evansville,Indiana,United States,17,4,5,5,4,3,7-9 hours,3,5,30- 60 minutes a week,4,5,4,2
Springfield,Missouri,United States,37,3,4,4,5,5,1-3 hours,1,3,Less than 30 minutes a week,3,3,4,3
Temple,Texas,United States,16,3,5,5,5,5,4-6 hours,1,3,Less than 30 minutes a week,3,1,2,3
Springfield,Missouri,United States,57,4,5,4,4,4,7-9 hours,3,4,30- 60 minutes a week,4,3,4,2
Lowell,Indiana,United States,15,3,4,5,4,3,7-9 hours,3,3,60-90 minutes a week,4,2,2,4
Cleveland,Ohio,United States,15,3,2,5,4,5,7-9 hours,2,3,Less than 30 minutes a week,4,5,3,4
Sacramento,California,United States,16,4,3,2,4,2,More than 9 hours,4,3,More than 90 minutes a week,4,3,5,4
Springfield,Missouri,United States,40,5,5,5,3,3,4-6 hours,3,4,30- 60 minutes a week,4,4,5,3
Idaho Falls,Idaho,United States,16,3,5,5,4,4,7-9 hours,2,3,30- 60 minutes a week,4,3,3,2
Republic,Missouri,United States,43,4,4,5,3,4,4-6 hours,4,5,60-90 minutes a week,4,5,5,1
Atlanta,Georgia,United States,12,3,4,5,4,4,7-9 hours,4,4,30- 60 minutes a week,3,4,4,4
American Canyon,California,United States,12,4,5,4,3,4,More than 9 hours,3,4,60-90 minutes a week,4,4,4,3
Republic,Missouri,United States,33,4,4,4,4,2,7-9 hours,2,4,30- 60 minutes a week,4,3,4,2
Ozark,Missouri,United States,56,4,5,5,3,3,4-6 hours,3,4,More than 90 minutes a week,4,5,4,3
Republic,Missouri,United States,64,5,5,4,5,3,4-6 hours,3,5,30- 60 minutes a week,5,5,5,3
San Anselmo,California,United States,16,4,4,3,5,5,4-6 hours,3,3,60-90 minutes a week,4,2,3,4
Indianapolis,Indiana,United States,13,5,5,4,3,3,7-9 hours,4,4,30- 60 minutes a week,4,5,5,3
Nixa,Missouri,United States,66,4,4,5,4,2,4-6 hours,4,4,30- 60 minutes a week,5,4,4,1
Springfield,Missouri,United States,47,5,5,5,4,5,7-9 hours,4,4,More than 90 minutes a week,4,4,4,1
American Canyon,California,United States,11,3,4,4,4,5,4-6 hours,5,4,More than 90 minutes a week,4,4,4,4
American Canyon,California,United States,17,3,3,2,4,4,4-6 hours,4,3,More than 90 minutes a week,5,4,3,1
Crown Point,Indiana,United States,34,3,5,4,2,5,7-9 hours,2,3,60-90 minutes a week,3,3,2,2
Richmond,California,United States,38,4,4,4,4,2,7-9 hours,4,5,More than 90 minutes a week,3,5,5,1
Republic,Missouri,United States,50,5,5,5,5,5,4-6 hours,3,4,More than 90 minutes a week,4,4,3,2
Republic,Missouri,United States,34,2,4,4,3,5,4-6 hours,4,2,60-90 minutes a week,2,2,2,5
Battlefield,Missouri,United States,41,4,4,5,4,3,4-6 hours,3,4,Less than 30 minutes a week,4,4,4,2
Republic,Missouri,United States,46,4,5,5,3,3,7-9 hours,4,4,60-90 minutes a week,4,5,4,2
Seattle,Washington,United States,14,3,4,4,5,5,1-3 hours,2,3,Less than 30 minutes a week,5,3,3,3
Blytheville,Arkansas,United States,15,5,3,4,5,5,7-9 hours,3,3,More than 90 minutes a week,4,5,4,5
Republic,Missouri,United States,14,5,5,5,5,5,7-9 hours,4,4,30- 60 minutes a week,5,4,4,2
Lamar,Missouri,United States,71,4,5,5,5,2,7-9 hours,4,5,More than 90 minutes a week,4,4,4,2
Gary,Indiana,United States,60,5,5,5,4,4,7-9 hours,4,5,60-90 minutes a week,5,5,5,2
Rochester,Indiana,United States,18,4,5,5,5,5,4-6 hours,3,3,60-90 minutes a week,5,5,4,4
Rochester,Indiana,United States,16,4,4,4,5,5,7-9 hours,3,3,30- 60 minutes a week,4,2,2,3
Rochester,Indiana,United States,16,3,3,3,4,2,1-3 hours,5,4,More than 90 minutes a week,5,4,4,5
Rochester,Indiana,United States,16,4,4,4,5,5,4-6 hours,2,1,30- 60 minutes a week,3,1,2,3
Rochester,Indiana,United States,17,4,5,5,5,5,7-9 hours,4,4,60-90 minutes a week,5,5,4,3
Rochester,Indiana,United States,16,5,4,4,5,5,4-6 hours,4,3,More than 90 minutes a week,5,4,4,2
Rochester,Indiana,United States,16,2,3,3,5,3,1-3 hours,3,2,30- 60 minutes a week,5,2,2,5
Rochester,Indiana,United States,18,5,4,4,5,4,4-6 hours,3,4,More than 90 minutes a week,4,4,3,2
Rochester,Indiana,United States,18,3,4,5,5,5,4-6 hours,4,3,More than 90 minutes a week,4,4,2,3
Rochester,Indiana,United States,15,5,4,4,5,3,7-9 hours,5,4,More than 90 minutes a week,5,5,4,3
Rochester,Indiana,United States,15,3,5,4,4,4,4-6 hours,4,2,More than 90 minutes a week,3,2,2,5
Rochester,Indiana,United States,15,4,4,3,5,5,4-6 hours,2,1,More than 90 minutes a week,4,3,3,4
Rochester,Indiana,United States,16,4,1,5,4,5,7-9 hours,1,4,Less than 30 minutes a week,3,5,5,1
Rochester,Indiana,United States,16,4,3,5,4,3,7-9 hours,4,3,More than 90 minutes a week,4,5,5,2
Rochester,Indiana,United States,17,3,4,5,4,4,4-6 hours,4,5,More than 90 minutes a week,3,2,3,2
Rochester,Indiana,United States,15,5,4,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,4,4,3
Rochester,Indiana,United States,15,5,5,5,5,5,7-9 hours,3,5,More than 90 minutes a week,5,5,5,4
Rochester,Indiana,United States,15,2,2,3,5,5,4-6 hours,2,3,More than 90 minutes a week,2,1,1,3
Rochester,Indiana,United States,17,5,4,5,5,5,7-9 hours,5,4,More than 90 minutes a week,5,5,4,4
Rochester,Indiana,United States,15,5,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,4,4,4,1
Rochester,Indiana,United States,16,4,4,5,4,5,4-6 hours,3,4,More than 90 minutes a week,5,3,3,3
Rochester,Indiana,United States,16,5,3,4,4,4,4-6 hours,3,3,60-90 minutes a week,2,3,3,3
Rochester,Indiana,United States,16,5,5,5,5,4,4-6 hours,3,5,More than 90 minutes a week,4,4,4,4
Rochester,Indiana,United States,15,4,4,5,3,3,7-9 hours,4,4,More than 90 minutes a week,3,4,3,2
Rochester,Indiana,United States,14,5,5,5,5,5,4-6 hours,4,5,More than 90 minutes a week,5,5,4,2
Rochester,Indiana,United States,15,5,3,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,5,4,2
Rochester,Indiana,United States,15,3,3,3,4,4,4-6 hours,4,3,More than 90 minutes a week,4,2,3,1
Rochester,Indiana,United States,16,3,5,3,5,5,4-6 hours,2,3,Less than 30 minutes a week,4,5,4,3
Rochester,Indiana,United States,16,4,4,5,5,5,7-9 hours,4,3,30- 60 minutes a week,4,4,5,2
Rochester,Indiana,United States,18,4,5,5,4,5,7-9 hours,4,3,60-90 minutes a week,5,5,5,5
Rochester,Indiana,United States,15,3,4,5,5,5,4-6 hours,3,3,More than 90 minutes a week,5,2,4,5
Rochester,Indiana,United States,14,4,3,4,5,4,7-9 hours,3,3,Less than 30 minutes a week,3,4,3,4
Rochester,Indiana,United States,14,4,2,5,5,5,4-6 hours,2,3,More than 90 minutes a week,5,2,4,5
Rochester,Indiana,United States,16,4,5,5,5,4,7-9 hours,3,2,60-90 minutes a week,5,3,4,4
Rochester,Indiana,United States,16,5,4,5,5,3,4-6 hours,4,4,More than 90 minutes a week,3,4,4,4
Rochester,Indiana,United States,15,5,5,5,5,5,7-9 hours,4,2,More than 90 minutes a week,5,2,5,2
Rochester,Indiana,United States,15,5,4,5,5,4,7-9 hours,5,4,More than 90 minutes a week,5,5,4,2
Rochester,Indiana,United States,15,5,4,5,5,4,1-3 hours,3,3,30- 60 minutes a week,4,3,3,4
Rochester,Indiana,United States,15,4,4,4,3,4,7-9 hours,3,3,More than 90 minutes a week,3,2,3,3
Rochester,Indiana,United States,16,3,5,5,5,4,7-9 hours,4,3,60-90 minutes a week,4,5,4,3
Rochester,Indiana,United States,15,4,3,5,5,4,7-9 hours,3,4,More than 90 minutes a week,4,5,4,2
Rochester,Indiana,United States,15,4,5,5,5,5,4-6 hours,3,4,More than 90 minutes a week,4,4,3,3
Rochester,Indiana,United States,15,4,5,5,5,5,7-9 hours,4,2,More than 90 minutes a week,4,2,3,3
Rochester,Indiana,United States,16,4,5,5,5,5,4-6 hours,1,2,Less than 30 minutes a week,5,2,3,2
Rochester,Indiana,United States,16,1,3,4,5,2,4-6 hours,2,2,More than 90 minutes a week,3,2,2,5
Rochester,Indiana,United States,15,4,4,5,4,4,7-9 hours,2,4,More than 90 minutes a week,4,4,4,2
Rochester,Indiana,United States,17,3,1,1,5,4,7-9 hours,3,5,More than 90 minutes a week,4,2,3,5
Rochester,Indiana,United States,14,4,4,5,5,4,1-3 hours,3,4,30- 60 minutes a week,4,4,4,2
Rochester,Indiana,United States,15,5,5,5,5,4,More than 9 hours,5,5,More than 90 minutes a week,5,5,5,3
Rochester,Indiana,United States,18,5,5,5,5,5,7-9 hours,4,5,60-90 minutes a week,4,5,5,4
Rochester,Indiana,United States,16,1,4,2,5,5,4-6 hours,3,1,More than 90 minutes a week,1,2,1,4
Rochester,Indiana,United States,15,5,5,4,5,2,7-9 hours,4,4,30- 60 minutes a week,3,3,4,2
Rochester,Indiana,United States,16,5,5,4,5,2,4-6 hours,5,3,More than 90 minutes a week,5,4,5,5
Rochester,Indiana,United States,15,5,5,5,5,4,7-9 hours,5,5,More than 90 minutes a week,4,4,5,2
Rochester,Indiana,United States,16,3,2,1,5,4,4-6 hours,3,2,30- 60 minutes a week,2,1,1,4
Rochester,Indiana,United States,15,4,5,5,5,5,7-9 hours,2,3,More than 90 minutes a week,4,1,4,4
Rochester,Indiana,United States,16,3,4,5,5,3,4-6 hours,3,5,60-90 minutes a week,5,4,4,3
Rochester,Indiana,United States,15,5,4,4,5,3,4-6 hours,4,4,More than 90 minutes a week,5,2,2,2
Rochester,Indiana,United States,16,5,5,5,5,5,7-9 hours,5,3,Less than 30 minutes a week,5,4,4,2
Rochester,Indiana,United States,16,5,4,4,5,4,7-9 hours,4,4,More than 90 minutes a week,5,5,5,4
Rochester,Indiana,United States,15,5,5,5,5,3,More than 9 hours,5,5,More than 90 minutes a week,5,5,5,1
Rochester,Indiana,United States,16,4,4,4,5,4,7-9 hours,4,3,More than 90 minutes a week,4,4,4,2
Rochester,Indiana,United States,17,4,4,4,5,5,4-6 hours,4,1,More than 90 minutes a week,4,2,5,5
Rochester,Indiana,United States,15,5,4,5,5,4,7-9 hours,4,4,Less than 30 minutes a week,5,4,4,3
Rochester,Indiana,United States,15,5,4,4,5,5,7-9 hours,5,4,Less than 30 minutes a week,4,4,4,4
Rochester,Indiana,United States,15,5,4,5,5,5,4-6 hours,4,4,30- 60 minutes a week,5,5,5,4
