What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Albuquerque,New Mexico,United States,15,3,4,5,4,4,7-9 hours,2,4,Less than 30 minutes a week,4,3,4,3
Napa,California,United States,17,5,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,4,3,4
Pinckney,Michigan,United States,17,3,5,4,3,4,7-9 hours,2,4,60-90 minutes a week,4,4,4,2
Portero,California,United States,14,4,3,5,4,3,7-9 hours,3,3,More than 90 minutes a week,4,4,3,4
San Jose,California,United States,12,4,3,4,5,3,7-9 hours,4,3,30- 60 minutes a week,5,5,4,4
Seattle,Washington,United States,17,3,5,5,4,4,7-9 hours,4,3,More than 90 minutes a week,3,3,3,4
Idaho Falls,Idaho,United States,16,5,5,5,4,2,More than 9 hours,4,4,60-90 minutes a week,5,5,5,1
Odessa,Texas,United States,17,1,1,1,1,1,Less than an hour,1,1,Less than 30 minutes a week,1,1,1,1
Odessa,Texas,United States,18,3,5,5,5,5,1-3 hours,2,4,Less than 30 minutes a week,3,3,3,1
Seaford,Delaware,United States,16,5,4,5,5,5,4-6 hours,4,5,30- 60 minutes a week,4,4,4,1
Columbus,Indiana,United States,14,4,3,3,4,4,4-6 hours,4,2,More than 90 minutes a week,3,2,2,4
Davis,California,United States,13,3,4,5,5,4,7-9 hours,4,4,30- 60 minutes a week,4,5,4,3
American Canyon,California,United States,12,4,5,4,5,5,More than 9 hours,3,5,More than 90 minutes a week,5,5,5,5
American Canyon,California,United States,13,1,5,4,5,5,7-9 hours,2,3,More than 90 minutes a week,3,3,3,4
Niles,Michigan,United States,15,4,3,5,5,4,7-9 hours,4,4,60-90 minutes a week,4,4,4,2
Napa,California,United States,12,4,5,5,5,4,7-9 hours,3,3,60-90 minutes a week,5,5,4,2
Plymouth,Indiana,United States,16,4,4,5,5,5,7-9 hours,5,4,More than 90 minutes a week,4,4,4,4
Plymouth,Indiana,United States,16,4,4,5,5,5,7-9 hours,5,4,More than 90 minutes a week,4,4,4,4
Sacramento,California,United States,17,4,4,3,5,5,7-9 hours,4,4,More than 90 minutes a week,4,3,3,3
DeKalb,Illinois,United States,25,4,4,5,5,5,7-9 hours,3,4,30- 60 minutes a week,5,5,5,2
Cleveland,Ohio,United States,16,5,4,4,5,5,4-6 hours,3,1,More than 90 minutes a week,2,1,1,5
